Date,EWA,EWC
2018-01-02,16.825542449951172,25.197721481323242
2018-01-03,16.933767318725586,25.290388107299805
2018-01-04,16.998701095581055,25.46730613708496
2018-01-05,17.099712371826172,25.559980392456055
2018-01-08,17.005916595458984,25.47572898864746
2018-01-09,17.027565002441406,25.40833282470703
2018-01-10,16.883256912231445,25.155601501464844
2018-01-11,16.984270095825195,25.281967163085938
2018-01-12,17.078073501586914,25.36621856689453
2018-01-16,16.926551818847656,25.46730613708496
2018-01-17,17.02034568786621,25.52627944946289
2018-01-18,17.034780502319336,25.46730613708496
2018-01-19,17.07085609436035,25.391483306884766
2018-01-22,17.092498779296875,25.492578506469727
2018-01-23,17.128572463989258,25.55154800415039
2018-01-24,17.229581832885742,25.62737464904785
2018-01-25,17.179079055786133,25.442031860351562
2018-01-26,17.395532608032227,25.54312515258789
2018-01-29,17.272876739501953,25.307241439819336
2018-01-30,17.13578987121582,25.147172927856445
2018-01-31,17.150218963623047,25.172447204589844
2018-02-01,17.229581832885742,25.08820152282715
2018-02-02,16.969844818115234,24.39739227294922
2018-02-05,16.39985466003418,23.715007781982422
2018-02-06,16.5585880279541,23.816102981567383
2018-02-07,16.212261199951172,23.639184951782227
2018-02-08,15.757712364196777,23.100019454956055
2018-02-09,15.959735870361328,23.142141342163086
2018-02-12,16.212261199951172,23.428571701049805
2018-02-13,16.306058883666992,23.445419311523438
2018-02-14,16.594661712646484,23.77397918701172
2018-02-15,16.717313766479492,23.925617218017578
2018-02-16,16.580230712890625,23.816102981567383
2018-02-20,16.53693962097168,23.68973159790039
2018-02-21,16.493650436401367,23.723430633544922
2018-02-22,16.623523712158203,23.67288589477539
2018-02-23,16.753393173217773,23.976167678833008
2018-02-26,16.933767318725586,24.0941104888916
2018-02-27,16.666812896728516,23.86664390563965
2018-02-28,16.46479034423828,23.41172218322754
2018-03-01,16.356563568115234,23.260086059570312
2018-03-02,16.407068252563477,23.15056610107422
2018-03-05,16.479219436645508,23.217958450317383
2018-03-06,16.609088897705078,23.369606018066406
2018-03-07,16.500864028930664,23.276931762695312
2018-03-08,16.52250862121582,23.369606018066406
2018-03-09,16.818326950073242,23.60548973083496
2018-03-12,16.811107635498047,23.588642120361328
2018-03-13,16.594661712646484,23.394874572753906
2018-03-14,16.666812896728516,23.4706974029541
2018-03-15,16.486434936523438,23.34432601928711
2018-03-16,16.428712844848633,23.310630798339844
2018-03-19,16.298845291137695,23.16741371154785
2018-03-20,16.241119384765625,23.251659393310547
2018-03-21,16.407068252563477,23.60548973083496
2018-03-22,15.98859691619873,23.133710861206055
2018-03-23,15.779356956481934,22.906251907348633
2018-03-26,16.060741424560547,23.066316604614258
2018-03-27,15.750495910644531,22.897830963134766
2018-03-28,15.757712364196777,22.81358528137207
2018-03-29,15.887585639953613,23.217958450317383
2018-04-02,15.613411903381348,22.889400482177734
2018-04-03,15.793784141540527,23.03261947631836
2018-04-04,15.902010917663574,23.108442306518555
2018-04-05,15.916443824768066,23.420148849487305
2018-04-06,15.736063957214355,23.16741371154785
2018-04-09,15.916443824768066,23.327478408813477
2018-04-10,16.205047607421875,23.56336784362793
2018-04-11,16.096820831298828,23.597063064575195
2018-04-12,16.14732551574707,23.597063064575195
2018-04-13,16.14732551574707,23.546520233154297
2018-04-16,16.2194766998291,23.647611618041992
2018-04-17,16.241119384765625,23.790830612182617
2018-04-18,16.334918975830078,23.908767700195312
2018-04-19,16.161754608154297,23.723430633544922
2018-04-20,15.995810508728027,23.622337341308594
2018-04-23,16.00302505493164,23.5380916595459
2018-04-24,16.00302505493164,23.4875431060791
2018-04-25,15.974163055419922,23.50439453125
2018-04-26,16.05352783203125,23.664459228515625
2018-04-27,16.14732551574707,23.765552520751953
2018-04-30,16.010238647460938,23.698158264160156
2018-05-01,16.08960723876953,23.698158264160156
2018-05-02,16.2266902923584,23.664459228515625
2018-05-03,16.378211975097656,23.681310653686523
2018-05-04,16.39985466003418,23.84980010986328
2018-05-07,16.313274383544922,23.917198181152344
2018-05-08,16.241119384765625,23.89192771911621
2018-05-09,16.313274383544922,24.144657135009766
2018-05-10,16.50808334350586,24.46479034423828
2018-05-11,16.486434936523438,24.44794273376465
2018-05-14,16.52250862121582,24.582733154296875
2018-05-15,16.32048797607422,24.498485565185547
2018-05-16,16.472003936767578,24.62485694885254
2018-05-17,16.493650436401367,24.70067024230957
2018-05-18,16.378211975097656,24.549036026000977
2018-05-21,16.587448120117188,24.7764949798584
2018-05-22,16.472003936767578,24.650129318237305
2018-05-23,16.385425567626953,24.57430648803711
2018-05-24,16.407068252563477,24.40581703186035
2018-05-25,16.306058883666992,24.22890281677246
2018-05-29,16.08238983154297,23.86664390563965
2018-05-30,16.435932159423828,24.32157325744629
2018-05-31,16.28441047668457,24.212053298950195
2018-06-01,16.392635345458984,24.178354263305664
2018-06-04,16.493650436401367,23.740278244018555
2018-06-05,16.421499252319336,24.26259994506836
2018-06-06,16.652381896972656,24.38054847717285
2018-06-07,16.52250862121582,24.363697052001953
2018-06-08,16.51529312133789,24.473217010498047
2018-06-11,16.60187339782715,24.46479034423828
2018-06-12,16.385425567626953,24.439516067504883
2018-06-13,16.3637752532959,24.473217010498047
2018-06-14,16.212261199951172,24.40581703186035
2018-06-15,16.2266902923584,24.178354263305664
2018-06-18,16.3637752532959,24.27945327758789
2018-06-19,16.232852935791016,23.994169235229492
2018-06-20,16.394670486450195,24.130016326904297
2018-06-21,16.45351219177246,23.977188110351562
2018-06-22,16.688875198364258,24.20643424987793
2018-06-25,16.350536346435547,23.756437301635742
